Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2023-03-10,0.0142106951,0.0321442983,0.0319320347,21,100
Market-Adjusted Model,10028,2023-03-10,-0.078873233,-0.055273954,-0.061151893,21,100
Market-Adjusted Model,10032,2023-03-10,-0.028459922,-0.009641305,-0.010738582,21,100
Market-Adjusted Model,10044,2023-03-10,0.0300000195,0.0478140385,0.0477213592,21,100
Market-Adjusted Model,10065,2023-03-10,-0.022771596,-0.004996953,-0.005050257,21,100
Market-Adjusted Model,10066,2023-03-10,-0.04705878,-0.027404281,-0.02933744,21,100
Market-Adjusted Model,10104,2023-03-10,-0.00643486,0.0120773534,0.0112864801,21,100
Market-Adjusted Model,10107,2023-03-10,0.1012678216,0.1160311768,0.1189891612,21,100
Market-Adjusted Model,10113,2023-03-10,-0.059942658,-0.042794092,-0.042221319,21,100
Market-Adjusted Model,10138,2023-03-10,-0.015575561,0.004606288,0.0021457789,21,100
Market-Adjusted Model,10145,2023-03-10,-0.03517588,-0.017651278,-0.017454541,21,100
Market-Adjusted Model,10158,2023-03-10,-0.168736896,-0.14598296,-0.151015557,21,100
Market-Adjusted Model,10200,2023-03-10,-0.127226187,-0.111090686,-0.109504847,21,100
Market-Adjusted Model,10207,2023-03-10,-0.077265237,-0.061360251,-0.059543897,21,100
Market-Adjusted Model,10220,2023-03-10,0.0361110898,0.0547890673,0.0538324294,21,100
Market-Adjusted Model,10252,2023-03-10,-0.149266692,-0.134369607,-0.131545352,21,100
Market-Adjusted Model,10253,2023-03-10,-0.130812701,-0.10127598,-0.113091361,21,100
Market-Adjusted Model,10257,2023-03-10,-0.072392659,-0.045394049,-0.054671319,21,100
Market-Adjusted Model,10258,2023-03-10,-0.119036108,-0.093547089,-0.101314768,21,100
Market-Adjusted Model,10294,2023-03-10,-0.166817946,-0.162085728,-0.149096607,21,100
Market-Adjusted Model,10308,2023-03-10,-0.107185375,-0.087766553,-0.089464036,21,100
Market-Adjusted Model,10318,2023-03-10,-0.077414994,-0.060889385,-0.059693654,21,100
Market-Adjusted Model,10333,2023-03-10,0.0366666891,0.0644275432,0.0543880288,21,100
Market-Adjusted Model,10355,2023-03-10,-0.129710896,-0.118047037,-0.111989556,21,100
Market-Adjusted Model,10382,2023-03-10,-0.151189401,-0.138030024,-0.133468062,21,100
Market-Adjusted Model,10397,2023-03-10,-0.097934897,-0.084416552,-0.080213557,21,100
Market-Adjusted Model,10421,2023-03-10,-0.062344146,-0.037148121,-0.044622806,21,100
Market-Adjusted Model,10443,2023-03-10,-0.013864805,0.0079352984,0.0038565344,21,100
Market-Adjusted Model,10463,2023-03-10,-0.082901539,-0.063748727,-0.0651802,21,100
Market-Adjusted Model,10501,2023-03-10,-0.138163607,-0.117141068,-0.120442267,21,100
Market-Adjusted Model,10514,2023-03-10,-0.221643333,-0.193973041,-0.203921994,21,100
Market-Adjusted Model,10516,2023-03-10,-0.066301062,-0.048772828,-0.048579723,21,100
Market-Adjusted Model,10517,2023-03-10,-0.044129944,-0.021560177,-0.026408604,21,100
Market-Adjusted Model,10547,2023-03-10,-0.283608155,-0.301709038,-0.265886815,21,100
Market-Adjusted Model,10550,2023-03-10,0.1096605969,0.128683249,0.1273819365,21,100
Market-Adjusted Model,10606,2023-03-10,-0.07869385,-0.062922219,-0.060972511,21,100
Market-Adjusted Model,10629,2023-03-10,-0.179217033,-0.171916854,-0.161495693,21,100
Market-Adjusted Model,10645,2023-03-10,-0.0330033,-0.013716,-0.01528196,21,100
Market-Adjusted Model,10649,2023-03-10,-0.065066072,-0.047149512,-0.047344732,21,100
Market-Adjusted Model,10661,2023-03-10,-0.280000019,-0.304145047,-0.262278679,21,100
Market-Adjusted Model,10693,2023-03-10,-0.139783215,-0.130615699,-0.122061875,21,100
Market-Adjusted Model,10696,2023-03-10,-0.034494633,-0.012721727,-0.016773294,21,100
Market-Adjusted Model,10777,2023-03-10,-0.214806837,-0.209738372,-0.197085497,21,100
Market-Adjusted Model,10779,2023-03-10,-0.137724497,-0.120410591,-0.120003157,21,100
Market-Adjusted Model,10781,2023-03-10,0.0012344773,0.021054875,0.0189558169,21,100
Market-Adjusted Model,10812,2023-03-10,-0.085475162,-0.069998458,-0.067753822,21,100
Market-Adjusted Model,10860,2023-03-10,-0.078149888,-0.055520106,-0.060428548,21,100
